name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year,
john henry irons, (new earth),\/wiki\/john_henry_irons_(new_earth),public identity,good characters,brown eyes,,male characters,,living characters,345,"1993, june",1993,
jefferson pierce, (new earth),\/wiki\/jefferson_pierce_(new_earth),secret identity,good characters,brown eyes,,male characters,,living characters,344,"1977, april",1977,
slade wilson, (new earth),\/wiki\/slade_wilson_(new_earth),secret identity,neutral characters,blue eyes,white hair,male characters,,living characters,336,"1980, december",1980,
phantom stranger, (new earth),\/wiki\/phantom_stranger_(new_earth),secret identity,,black eyes,black hair,male characters,,living characters,335,"1952, september",1952,
beatriz da costa, (new earth),\/wiki\/beatriz_da_costa_(new_earth),secret identity,good characters,green eyes,green hair,female characters,,living characters,325,"1982, june",1982,
william batson, (new earth),\/wiki\/william_batson_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,living characters,321,"1940, february",1940,
carol ferris, (new earth),\/wiki\/carol_ferris_(new_earth),public identity,neutral characters,blue eyes,black hair,female characters,,living characters,319,"1959, october",1959,
clifford steele, (new earth),\/wiki\/clifford_steele_(new_earth),public identity,,photocellular eyes,,male characters,,living characters,314,"1963, june",1963,
etrigan, (new earth),\/wiki\/etrigan_(new_earth),public identity,neutral characters,red eyes,,male characters,,living characters,311,"1972, september",1972,
jennifer-lynn hayden, (new earth),\/wiki\/jennifer-lynn_hayden_(new_earth),secret identity,good characters,green eyes,green hair,female characters,,living characters,309,"1983, september",1983,
swamp thing, (new earth),\/wiki\/swamp_thing_(new_earth),public identity,good characters,red eyes,,male characters,,living characters,309,"1972, november",1972,
renee montoya, (new earth),\/wiki\/renee_montoya_(new_earth),secret identity,good characters,brown eyes,black hair,female characters,homosexual characters,living characters,308,"1992, march",1992,
harvey dent, (new earth),\/wiki\/harvey_dent_(new_earth),public identity,bad characters,blue eyes,brown hair,male characters,,living characters,306,"1942, august",1942,
courtney whitmore, (new earth),\/wiki\/courtney_whitmore_(new_earth),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,305,"1999, july",1999,
kendra saunders, (new earth),\/wiki\/kendra_saunders_(new_earth),secret identity,good characters,hazel eyes,brown hair,female characters,,deceased characters,301,"1999, august",1999,
michael holt, (new earth),\/wiki\/michael_holt_(new_earth),secret identity,,brown eyes,black hair,male characters,,living characters,300,"1997, june",1997,
kilowog, (new earth),\/wiki\/kilowog_(new_earth),public identity,good characters,red eyes,,male characters,,living characters,299,"1986, june",1986,
kara zor-el, (new earth),\/wiki\/kara_zor-el_(new_earth),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,297,"2004, may",2004,
jonah hex, (new earth),\/wiki\/jonah_hex_(new_earth),public identity,good characters,blue eyes,blond hair,male characters,,deceased characters,291,"1972, march",1972,
rex tyler, (new earth),\/wiki\/rex_tyler_(new_earth),secret identity,good characters,blue eyes,brown hair,male characters,,living characters,288,"1940, march",1940,
pamela isley, (new earth),\/wiki\/pamela_isley_(new_earth),secret identity,neutral characters,green eyes,red hair,female characters,,living characters,286,"1966, june",1966,
pieter cross, (new earth),\/wiki\/pieter_cross_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,living characters,284,"1999, february",1999,
jonathan l. thunder, (new earth),\/wiki\/jonathan_l._thunder_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,282,"1940, january",1940,
mari mccabe, (new earth),\/wiki\/mari_mccabe_(new_earth),secret identity,good characters,amber eyes,brown hair,female characters,,living characters,268,"1981, july",1981,
scott free, (new earth),\/wiki\/scott_free_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,living characters,268,"1971, april",1971,
martha clark, (new earth),\/wiki\/martha_clark_(new_earth),public identity,good characters,blue eyes,white hair,female characters,,living characters,266,"1986, october",1986,
boston brand, (new earth),\/wiki\/boston_brand_(new_earth),secret identity,good characters,blue eyes,,male characters,,deceased characters,262,"1967, october",1967,
daniel turpin, (new earth),\/wiki\/daniel_turpin_(new_earth),public identity,,brown eyes,brown hair,male characters,,deceased characters,261,"1942, june",1942,
john zatara, (new earth),\/wiki\/john_zatara_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,deceased characters,256,"1938, june",1938,
jonathan kent, (new earth),\/wiki\/jonathan_kent_(new_earth),public identity,good characters,blue eyes,white hair,male characters,,deceased characters,254,"1986, october",1986,
oswald cobblepot, (new earth),\/wiki\/oswald_cobblepot_(new_earth),public identity,,blue eyes,black hair,male characters,,living characters,253,"1941, december",1941,
tatsu yamashiro, (new earth),\/wiki\/tatsu_yamashiro_(new_earth),secret identity,good characters,brown eyes,black hair,female characters,,living characters,252,"1983, july",1983,
lawrence trainor, (new earth),\/wiki\/lawrence_trainor_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,250,"1963, june",1963,
albert rothstein, (new earth),\/wiki\/albert_rothstein_(new_earth),secret identity,good characters,blue eyes,,male characters,,living characters,245,"1983, september",1983,
brion markov, (new earth),\/wiki\/brion_markov_(new_earth),secret identity,good characters,green eyes,strawberry blond hair,male characters,,living characters,245,"1983, july",1983,
sanderson hawkins, (new earth),\/wiki\/sanderson_hawkins_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,241,"1941, december",1941,
jonathan chambers, (new earth),\/wiki\/jonathan_chambers_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,deceased characters,239,"1941, september",1941,
orion, (new earth),\/wiki\/orion_(new_earth),public identity,good characters,blue eyes,strawberry blond hair,male characters,,deceased characters,237,"1971, march",1971,
thaal sinestro, (new earth),\/wiki\/thaal_sinestro_(new_earth),public identity,neutral characters,yellow eyes,black hair,male characters,,living characters,237,"1961, august",1961,
cassandra cain, (new earth),\/wiki\/cassandra_cain_(new_earth),secret identity,good characters,brown eyes,black hair,female characters,,living characters,235,"1999, july",1999,
jason todd, (new earth),\/wiki\/jason_todd_(new_earth),secret identity,neutral characters,blue eyes,black hair,male characters,,living characters,235,"1987, june",1987,
susan dearbon, (new earth),\/wiki\/susan_dearbon_(new_earth),public identity,good characters,,black hair,female characters,,deceased characters,235,"1961, march",1961,
jean-paul valley, (new earth),\/wiki\/jean-paul_valley_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,deceased characters,234,"1992, october",1992,
hippolyta, (new earth),\/wiki\/hippolyta_(new_earth),public identity,good characters,blue eyes,black hair,female characters,,living characters,231,"1987, february",1987,
joseph wilson, (new earth),\/wiki\/joseph_wilson_(new_earth),secret identity,neutral characters,green eyes,blond hair,male characters,,living characters,229,"1984, may",1984,
bernhard baker, (new earth),\/wiki\/bernhard_baker_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,229,"1965, september",1965,
sylvester pemberton, (new earth),\/wiki\/sylvester_pemberton_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,deceased characters,229,"1941, october",1941,
jesse chambers, (new earth),\/wiki\/jesse_chambers_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,living characters,228,"1992, august",1992,
floyd lawton, (new earth),\/wiki\/floyd_lawton_(new_earth),secret identity,neutral characters,blue eyes,brown hair,male characters,,living characters,227,"1950, june",1950,
mera, (new earth),\/wiki\/mera_(new_earth),public identity,,blue eyes,red hair,female characters,,living characters,226,"1963, october",1963,
tora olafsdotter, (new earth),\/wiki\/tora_olafsdotter_(new_earth),public identity,good characters,blue eyes,white hair,female characters,,living characters,225,"1988, april",1988,
george harkness, (new earth),\/wiki\/george_harkness_(new_earth),secret identity,,brown eyes,brown hair,male characters,,living characters,224,"1960, december",1960,
amanda waller, (new earth),\/wiki\/amanda_waller_(new_earth),public identity,good characters,brown eyes,black hair,female characters,,living characters,222,"1986, november",1986,
jonathan crane, (new earth),\/wiki\/jonathan_crane_(new_earth),public identity,bad characters,blue eyes,brown hair,male characters,,living characters,222,"1941, september",1941,
leonard snart, (new earth),\/wiki\/leonard_snart_(new_earth),secret identity,,brown eyes,brown hair,male characters,,living characters,219,"1957, june",1957,
shiera sanders, (new earth),\/wiki\/shiera_sanders_(new_earth),secret identity,good characters,brown eyes,red hair,female characters,,living characters,219,"1940, january",1940,
maxwell lord iv, (new earth),\/wiki\/maxwell_lord_iv_(new_earth),public identity,neutral characters,black eyes,brown hair,male characters,,living characters,218,"1987, may",1987,
jeb stuart, (new earth),\/wiki\/jeb_stuart_(new_earth),public identity,good characters,blue eyes,brown hair,male characters,,living characters,218,"1961, may",1961,
damian wayne, (prime earth),\/wiki\/damian_wayne_(prime_earth),secret identity,good characters,blue eyes,black hair,male characters,,deceased characters,216,"1987, september",1987,
big barda, (new earth),\/wiki\/big_barda_(new_earth),secret identity,good characters,blue eyes,black hair,female characters,,deceased characters,216,"1971, october",1971,
niles caulder, (new earth),\/wiki\/niles_caulder_(new_earth),public identity,good characters,blue eyes,grey hair,male characters,,living characters,214,"1963, june",1963,
james corrigan, (new earth),\/wiki\/james_corrigan_(new_earth),secret identity,good characters,blue eyes,red hair,male characters,,deceased characters,214,"1940, february",1940,
samuel bradley, (new earth),\/wiki\/samuel_bradley_(new_earth),public identity,good characters,grey eyes,grey hair,male characters,,living characters,213,"1937, march",1937,
richard tyler, (new earth),\/wiki\/richard_tyler_(new_earth),public identity,good characters,brown eyes,brown hair,male characters,,living characters,212,"1985, november",1985,
james ewell brown stuart, (new earth),\/wiki\/james_ewell_brown_stuart_(new_earth),public identity,good characters,,brown hair,male characters,,deceased characters,212,"1961, may",1961,
todd rice, (new earth),\/wiki\/todd_rice_(new_earth),public identity,good characters,brown eyes,brown hair,male characters,homosexual characters,living characters,208,"1983, september",1983,
yz, (new earth),\/wiki\/yz_(new_earth),secret identity,good characters,red eyes,,male characters,,living characters,207,"1940, january",1940,
matrix, (pocket universe),\/wiki\/matrix_(pocket_universe),public identity,good characters,blue eyes,blond hair,female characters,,living characters,206,"1988, april",1988,
wolfgang winks, (new earth),\/wiki\/wolfgang_winks_(new_earth),public identity,good characters,,black hair,male characters,,living characters,206,"1942, november",1942,
william glenmorgan, (new earth),\/wiki\/william_glenmorgan_(new_earth),public identity,good characters,blue eyes,black hair,male characters,,deceased characters,199,"1940, june",1940,
stephanie brown, (new earth),\/wiki\/stephanie_brown_(new_earth),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,198,"1992, august",1992,
raymond terrill, (new earth),\/wiki\/raymond_terrill_(new_earth),secret identity,good characters,green eyes,red hair,male characters,,living characters,192,"1992, february",1992,
adam blake, (new earth),\/wiki\/adam_blake_(new_earth),public identity,good characters,hazel eyes,brown hair,male characters,,living characters,191,"1951, june",1951,
kimiyo hoshi, (new earth),\/wiki\/kimiyo_hoshi_(new_earth),secret identity,,black eyes,black hair,female characters,,living characters,189,"1985, july",1985,
jack ryder, (new earth),\/wiki\/jack_ryder_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,living characters,188,"1968, april",1968,
vandar adg, (new earth),\/wiki\/vandar_adg_(new_earth),public identity,,brown eyes,black hair,male characters,,living characters,188,"1943, december",1943,
justin arthur, (new earth),\/wiki\/justin_arthur_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,184,"1941, september",1941,
max mercury, (new earth),\/wiki\/max_mercury_(new_earth),secret identity,good characters,blue eyes,grey hair,male characters,,living characters,183,"1940, november",1940,
abigail arcane, (new earth),\/wiki\/abigail_arcane_(new_earth),public identity,good characters,blue eyes,white hair,female characters,,living characters,182,"1973, january",1973,
thomas haukins, (new earth),\/wiki\/thomas_haukins_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,deceased characters,181,"1947, june",1947,
margaret sawyer, (new earth),\/wiki\/margaret_sawyer_(new_earth),public identity,,blue eyes,,female characters,homosexual characters,living characters,180,"1987, april",1987,
waylon jones, (new earth),\/wiki\/waylon_jones_(new_earth),public identity,bad characters,red eyes,,male characters,,living characters,180,"1983, march",1983,
travis morgan, (new earth),\/wiki\/travis_morgan_(new_earth),public identity,good characters,blue eyes,white hair,male characters,,deceased characters,180,"1975, november",1975,
gorilla grodd, (new earth),\/wiki\/gorilla_grodd_(new_earth),public identity,bad characters,grey eyes,black hair,male characters,,living characters,179,"1959, may",1959,
talia al ghul, (new earth),\/wiki\/talia_al_ghul_(new_earth),secret identity,bad characters,brown eyes,brown hair,female characters,,deceased characters,177,"1971, may",1971,
adam strange, (new earth),\/wiki\/adam_strange_(new_earth),public identity,,blue eyes,blond hair,male characters,,living characters,177,"1958, december",1958,
patrick dugan, (new earth),\/wiki\/patrick_dugan_(new_earth),secret identity,good characters,blue eyes,red hair,male characters,,living characters,177,"1941, october",1941,
daniel cassidy, (new earth),\/wiki\/daniel_cassidy_(new_earth),secret identity,good characters,yellow eyes,,male characters,,living characters,176,"1984, june",1984,
james harper clone, (new earth),\/wiki\/james_harper_clone_(new_earth),public identity,good characters,blue eyes,brown hair,male characters,,living characters,176,"1971, january",1971,
thomas kalmaku, (new earth),\/wiki\/thomas_kalmaku_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,176,"1960, october",1960,
gabrielle doe, (new earth),\/wiki\/gabrielle_doe_(new_earth),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,175,"1983, july",1983,
henry hall, (new earth),\/wiki\/henry_hall_(new_earth),secret identity,good characters,red eyes,brown hair,male characters,,living characters,175,"1968, june",1968,
connor hawke, (new earth),\/wiki\/connor_hawke_(new_earth),secret identity,good characters,green eyes,blond hair,male characters,,living characters,174,"1994, october",1994,
linda park, (new earth),\/wiki\/linda_park_(new_earth),public identity,,brown eyes,black hair,female characters,,living characters,174,"1989, july",1989,
cyrus gold, (new earth),\/wiki\/cyrus_gold_(new_earth),secret identity,bad characters,black eyes,white hair,male characters,,deceased characters,174,"1944, october",1944,
edward nashton, (new earth),\/wiki\/edward_nashton_(new_earth),public identity,neutral characters,blue eyes,black hair,male characters,,living characters,173,"1988, january",1988,
arisia rrab, (new earth),\/wiki\/arisia_rrab_(new_earth),public identity,good characters,yellow eyes,blond hair,female characters,,living characters,173,"1981, may",1981,
robert crane, (new earth),\/wiki\/robert_crane_(new_earth),secret identity,good characters,red eyes,,male characters,,living characters,171,"1942, april",1942,
joan williams, (new earth),\/wiki\/joan_williams_(new_earth),public identity,,blue eyes,grey hair,female characters,,living characters,171,"1940, january",1940,
william magnus, (new earth),\/wiki\/william_magnus_(new_earth),public identity,good characters,blue eyes,brown hair,male characters,,living characters,170,"1962, april",1962,
mary batson, (new earth),\/wiki\/mary_batson_(new_earth),secret identity,good characters,blue eyes,brown hair,female characters,,living characters,168,"1995, april",1995,
jean loring, (new earth),\/wiki\/jean_loring_(new_earth),public identity,bad characters,green eyes,black hair,female characters,,deceased characters,168,"1961, october",1961,
oberon, (new earth),\/wiki\/oberon_(new_earth),public identity,,blue eyes,white hair,male characters,,living characters,167,"1971, april",1971,
grant emerson, (new earth),\/wiki\/grant_emerson_(new_earth),public identity,good characters,blue eyes,black hair,male characters,,deceased characters,166,"1994, april",1994,
rita farr, (new earth),\/wiki\/rita_farr_(new_earth),secret identity,good characters,brown eyes,brown hair,female characters,,living characters,166,"1963, june",1963,
jason rusch, (new earth),\/wiki\/jason_rusch_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,living characters,165,"2004, july",2004,
hector hall, (new earth),\/wiki\/hector_hall_(new_earth),secret identity,good characters,blue eyes,white hair,male characters,,deceased characters,165,"1983, september",1983,
mercury, (new earth),\/wiki\/mercury_(new_earth),secret identity,good characters,photocellular eyes,,male characters,,living characters,165,"1962, april",1962,
jaime reyes, (new earth),\/wiki\/jaime_reyes_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,living characters,164,"2006, february",2006,
platinum, (new earth),\/wiki\/platinum_(new_earth),secret identity,good characters,photocellular eyes,,female characters,,living characters,164,"1962, april",1962,
andre chavard, (new earth),\/wiki\/andre_chavard_(new_earth),public identity,good characters,,brown hair,male characters,,living characters,164,"1942, june",1942,
daniel leong, (new earth),\/wiki\/daniel_leong_(new_earth),secret identity,good characters,black eyes,black hair,male characters,,deceased characters,164,"1942, february",1942,
vril dox ii, (new earth),\/wiki\/vril_dox_ii_(new_earth),public identity,good characters,green eyes,blond hair,male characters,,living characters,163,"1964, february",1964,
"roy raymond, sr.", (new earth),"\/wiki\/roy_raymond,_sr._(new_earth)",public identity,good characters,blue eyes,brown hair,male characters,,living characters,163,"1949, november",1949,
uncle sam, (new earth),\/wiki\/uncle_sam_(new_earth),secret identity,,blue eyes,white hair,male characters,,living characters,162,"1940, july",1940,
metron, (new earth),\/wiki\/metron_(new_earth),secret identity,neutral characters,blue eyes,black hair,male characters,,deceased characters,161,"1971, march",1971,
iron, (new earth),\/wiki\/iron_(new_earth),secret identity,good characters,photocellular eyes,,male characters,,living characters,161,"1962, april",1962,
lead, (new earth),\/wiki\/lead_(new_earth),secret identity,good characters,photocellular eyes,,male characters,,living characters,161,"1962, april",1962,
lucas carr, (new earth),\/wiki\/lucas_carr_(new_earth),public identity,,blue eyes,brown hair,male characters,,living characters,161,"1960, march",1960,
hartley rathaway, (new earth),\/wiki\/hartley_rathaway_(new_earth),secret identity,good characters,blue eyes,red hair,male characters,homosexual characters,living characters,160,"1959, may",1959,
lana lang, (new earth),\/wiki\/lana_lang_(new_earth),public identity,good characters,green eyes,red hair,female characters,,living characters,159,"1986, october",1986,
rose wilson, (new earth),\/wiki\/rose_wilson_(new_earth),secret identity,good characters,blue eyes,white hair,female characters,,living characters,158,"1992, october",1992,
desaad, (new earth),\/wiki\/desaad_(new_earth),public identity,bad characters,black eyes,black hair,male characters,,living characters,158,"1971, may",1971,
charles taine, (pre-zero hour),\/wiki\/charles_taine_(pre-zero_hour),secret identity,good characters,black eyes,black hair,male characters,,living characters,158,"1961, may",1961,
bane, (new earth),\/wiki\/bane_(new_earth),secret identity,bad characters,brown eyes,brown hair,male characters,,living characters,157,"1993, january",1993,
salakk, (new earth),\/wiki\/salakk_(new_earth),secret identity,good characters,white eyes,,male characters,,living characters,155,"1982, february",1982,
tin, (new earth),\/wiki\/tin_(new_earth),secret identity,good characters,photocellular eyes,,male characters,,living characters,155,"1962, april",1962,
samuel morgan, (new earth),\/wiki\/samuel_morgan_(new_earth),,good characters,,red hair,male characters,,deceased characters,155,"1937, march",1937,
eve eden, (new earth),\/wiki\/eve_eden_(new_earth),secret identity,neutral characters,blue eyes,blond hair,female characters,,living characters,154,"1966, september",1966,
harleen quinzel, (new earth),\/wiki\/harleen_quinzel_(new_earth),public identity,bad characters,blue eyes,blond hair,female characters,,living characters,153,"1999, october",1999,
benjamin turner, (new earth),\/wiki\/benjamin_turner_(new_earth),secret identity,neutral characters,brown eyes,black hair,male characters,,living characters,153,"1975, may",1975,
mark mardon, (new earth),\/wiki\/mark_mardon_(new_earth),secret identity,bad characters,blue eyes,black hair,male characters,,living characters,152,"1960, january",1960,
teth-adam, (new earth),\/wiki\/teth-adam_(new_earth),secret identity,neutral characters,brown eyes,black hair,male characters,,living characters,152,"1945, december",1945,
catherine grant, (new earth),\/wiki\/catherine_grant_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,living characters,151,"1987, january",1987,
terrence sloane, (new earth),\/wiki\/terrence_sloane_(new_earth),secret identity,good characters,blue eyes,brown hair,male characters,,deceased characters,151,"1942, january",1942,
jason blood, (new earth),\/wiki\/jason_blood_(new_earth),public identity,good characters,blue eyes,red hair,male characters,,living characters,148,"1972, september",1972,
gold, (new earth),\/wiki\/gold_(new_earth),secret identity,good characters,photocellular eyes,,male characters,,living characters,147,"1962, april",1962,
victor fries, (new earth),\/wiki\/victor_fries_(new_earth),secret identity,bad characters,blue eyes,,male characters,,living characters,143,"1959, february",1959,
thomas wayne, (new earth),\/wiki\/thomas_wayne_(new_earth),public identity,good characters,brown eyes,brown hair,male characters,,deceased characters,142,"1987, february",1987,
arthur light, (new earth),\/wiki\/arthur_light_(new_earth),public identity,bad characters,black eyes,black hair,male characters,,deceased characters,142,"1962, june",1962,
lester davis, (new earth),\/wiki\/lester_davis_(new_earth),public identity,good characters,,black hair,male characters,,living characters,142,"1957, february",1957,
