name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year
loki laufeyson, (earth-616),\/loki_laufeyson_(earth-616),no dual identity,neutral characters,green eyes,black hair,genderfluid characters,bisexual characters,living characters,532,Aug-49,1949
franklin nelson, (earth-616),\/franklin_nelson_(earth-616),no dual identity,good characters,blue eyes,bald,male characters,,living characters,528,Apr-64,1964
brian braddock, (earth-616),\/brian_braddock_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,528,Oct-76,1976
otto octavius, (earth-616),\/otto_octavius_(earth-616),secret identity,neutral characters,hazel eyes,brown hair,male characters,,deceased characters,526,Jul-63,1963
james rhodes, (earth-616),\/james_rhodes_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,525,Jan-79,1979
timothy dugan, (earth-616),\/timothy_dugan_(earth-616),public identity,good characters,blue eyes,red hair,male characters,,deceased characters,517,May-63,1963
crystalia amaquelin, (earth-616),\/crystalia_amaquelin_(earth-616),public identity,good characters,green eyes,strawberry blond hair,female characters,,living characters,512,Dec-65,1965
samuel wilson, (earth-616),\/samuel_wilson_(earth-616),public identity,good characters,brown eyes,black hair,male characters,,living characters,512,Sep-69,1969
wilson fisk, (earth-616),\/wilson_fisk_(earth-616),public identity,bad characters,blue eyes,bald,male characters,,living characters,503,Jul-67,1967
odin borson, (earth-616),\/odin_borson_(earth-616),public identity,neutral characters,blue eyes,white hair,male characters,,living characters,502,Oct-62,1962
deadpool, (wade wilson),\/deadpool_(wade_wilson),secret identity,neutral characters,brown eyes,bald,male characters,transvestites,living characters,500,Feb-91,1991
dane whitman, (earth-616),\/dane_whitman_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,478,Dec-67,1967
harold osborn, (earth-616),\/harold_osborn_(earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,,living characters,474,Dec-65,1965
franklin richards, (earth-616),\/franklin_richards_(earth-616),no dual identity,good characters,blue eyes,blond hair,male characters,,living characters,473,Nov-68,1968
jessica drew, (earth-616),\/jessica_drew_(earth-616),secret identity,good characters,green eyes,auburn hair,female characters,,living characters,471,Feb-77,1977
roberto da costa, (earth-616),\/roberto_da_costa_(earth-616),secret identity,good characters,brown eyes,black hair,male characters,,living characters,464,Nov-82,1982
rahne sinclair, (earth-616),\/rahne_sinclair_(earth-616),secret identity,good characters,green eyes,red hair,female characters,,living characters,448,Nov-82,1982
elizabeth ross, (earth-616),\/elizabeth_ross_(earth-616),public identity,good characters,blue eyes,black hair,female characters,,living characters,446,May-62,1962
lorna dane, (earth-616),\/lorna_dane_(earth-616),secret identity,good characters,green eyes,green hair,female characters,,living characters,433,Oct-68,1968
blaine colt, (earth-616),\/blaine_colt_(earth-616),public identity,,blue eyes,blond hair,male characters,,deceased characters,429,,
johnathon blaze, (earth-616),\/johnathon_blaze_(earth-616),secret identity,good characters,blue eyes,reddish blond hair,male characters,,living characters,426,Aug-72,1972
sif, (earth-616),\/sif_(earth-616),no dual identity,good characters,blue eyes,black hair,female characters,,living characters,422,Mar-64,1964
red hulk, (thaddeus ross),\/red_hulk_(thaddeus_ross),public identity,neutral characters,blue eyes,black hair,male characters,,living characters,415,May-62,1962
jubilation lee, (earth-616),\/jubilation_lee_(earth-616),secret identity,good characters,brown eyes,black hair,female characters,,living characters,408,May-89,1989
volstagg, (earth-616),\/volstagg_(earth-616),public identity,good characters,blue eyes,red hair,male characters,,living characters,406,Aug-65,1965
balder odinson, (earth-616),\/balder_odinson_(earth-616),secret identity,good characters,blue eyes,brown hair,male characters,,deceased characters,403,Oct-62,1962
galactus, (earth-616),\/galactus_(earth-616),secret identity,neutral characters,brown eyes,no hair,male characters,,living characters,390,Mar-66,1966
danielle moonstar, (earth-616),\/danielle_moonstar_(earth-616),secret identity,good characters,brown eyes,black hair,female characters,,living characters,388,Nov-82,1982
marc spector, (earth-616),\/marc_spector_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,387,Aug-75,1975
gwendolyne stacy, (earth-616),\/gwendolyne_stacy_(earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,,deceased characters,384,Dec-65,1965
medusalith amaquelin, (earth-616),\/medusalith_amaquelin_(earth-616),public identity,good characters,green eyes,red hair,female characters,,living characters,382,Mar-65,1965
sabretooth, (victor creed),\/sabretooth_(victor_creed),secret identity,bad characters,amber eyes,blond hair,male characters,,living characters,382,Aug-77,1977
illyana rasputina, (earth-616),\/illyana_rasputina_(earth-616),secret identity,neutral characters,blue eyes,blond hair,female characters,,living characters,380,May-75,1975
johann shmidt, (earth-616),\/johann_shmidt_(earth-616),public identity,bad characters,blue eyes,blond hair,male characters,,deceased characters,376,Aug-41,1941
fandral, (earth-616),\/fandral_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,deceased characters,375,Aug-65,1965
sean cassidy, (earth-616),\/sean_cassidy_(earth-616),secret identity,neutral characters,green eyes,strawberry blond hair,male characters,,living characters,374,Jan-67,1967
thomas raymond, (earth-616),\/thomas_raymond_(earth-616),secret identity,good characters,blue eyes,black hair,male characters,,living characters,373,Sep-40,1940
uatu, (earth-616),\/uatu_(earth-616),public identity,good characters,blue eyes,bald,male characters,,deceased characters,373,Apr-63,1963
richard rider, (earth-616),\/richard_rider_(earth-616),public identity,good characters,brown eyes,brown hair,male characters,,deceased characters,373,Sep-76,1976
hogun, (earth-616),\/hogun_(earth-616),public identity,good characters,grey eyes,black hair,male characters,,living characters,371,Aug-65,1965
raven darkholme, (earth-616),\/raven_darkholme_(earth-616),secret identity,bad characters,yellow eyes,red hair,female characters,bisexual characters,living characters,371,Apr-78,1978
barbara morse, (earth-616),\/barbara_morse_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,368,Jun-71,1971
blackagar boltagon, (earth-616),\/blackagar_boltagon_(earth-616),no dual identity,good characters,blue eyes,black hair,male characters,,living characters,366,Dec-65,1965
brunnhilde, (earth-616),\/brunnhilde_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,361,Dec-70,1970
alison blaire, (earth-616),\/alison_blaire_(earth-616),public identity,good characters,blue eyes,strawberry blond hair,female characters,,living characters,353,Feb-80,1980
venom, (earth-616),\/venom_(symbiote)_(earth-616),known to authorities identity,neutral characters,variable eyes,no hair,agender characters,,living characters,348,May-84,1984
john walker, (earth-616),\/john_walker_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,346,Nov-86,1986
greer grant, (earth-616),\/greer_grant_(earth-616),public identity,good characters,green eyes,black hair,female characters,,living characters,342,Nov-72,1972
karla sofen, (earth-616),\/karla_sofen_(earth-616),public identity,neutral characters,blue eyes,blond hair,female characters,,living characters,340,Dec-75,1975
william baker, (earth-616),\/william_baker_(earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,,living characters,338,Sep-63,1963
sharon carter, (earth-616),\/sharon_carter_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,living characters,332,Mar-66,1966
felicia hardy, (earth-616),\/felicia_hardy_(earth-616),public identity,bad characters,,blond hair,female characters,,living characters,332,Jul-79,1979
cain marko, (earth-616),\/cain_marko_(earth-616),public identity,neutral characters,blue eyes,red hair,male characters,,living characters,329,Jul-65,1965
monica rambeau, (earth-616),\/monica_rambeau_(earth-616),secret identity,good characters,brown eyes,black hair,female characters,,living characters,327,,
maria hill, (earth-616),\/maria_hill_(earth-616),no dual identity,good characters,brown eyes,black hair,female characters,,living characters,325,5-Apr,2005
ben urich, (earth-616),\/ben_urich_(earth-616),no dual identity,good characters,brown eyes,brown hair,male characters,,living characters,324,Jul-78,1978
heather douglas, (earth-616),\/heather_douglas_(earth-616),secret identity,good characters,blue eyes,bald,female characters,bisexual characters,living characters,323,Jan-73,1973
millicent collins, (earth-616),\/millicent_collins_(earth-616),public identity,,blue eyes,blond hair,female characters,,living characters,321,Dec-45,1945
james proudstar, (earth-616),\/james_proudstar_(earth-616),secret identity,good characters,brown eyes,black hair,male characters,,living characters,320,Jun-84,1984
angelica jones, (earth-616),\/angelica_jones_(earth-616),known to authorities identity,good characters,green eyes,red hair,female characters,,living characters,319,May-85,1985
edward brock, (earth-616),\/edward_brock_(earth-616),public identity,neutral characters,black eyes,blond hair,male characters,,living characters,318,Sep-86,1986
macdonald gargan, (earth-616),\/macdonald_gargan_(earth-616),secret identity,bad characters,brown eyes,bald,male characters,,living characters,317,Dec-64,1964
mephisto, (earth-616),\/mephisto_(earth-616),no dual identity,bad characters,white eyes,black hair,male characters,,living characters,316,Dec-68,1968
tabitha smith, (earth-616),\/tabitha_smith_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,316,Nov-85,1985
jean-paul beaubier, (earth-616),\/jean-paul_beaubier_(earth-616),secret identity,good characters,blue eyes,black hair,male characters,homosexual characters,living characters,313,Apr-79,1979
daniel ketch, (earth-616),\/daniel_ketch_(earth-616),secret identity,neutral characters,green eyes,brown hair,male characters,,living characters,311,May-90,1990
neena thurman, (earth-616),\/neena_thurman_(earth-616),secret identity,good characters,blue eyes,black hair,female characters,,living characters,310,Mar-92,1992
wong, (earth-616),\/wong_(earth-616),no dual identity,good characters,brown eyes,bald,male characters,,living characters,306,Jul-63,1963
thanos, (earth-616),\/thanos_(earth-616),no dual identity,bad characters,red eyes,no hair,male characters,,living characters,306,Feb-73,1973
shang-chi, (earth-616),\/shang-chi_(earth-616),no dual identity,good characters,brown eyes,black hair,male characters,,living characters,296,Dec-73,1973
alicia masters, (earth-616),\/alicia_masters_(earth-616),no dual identity,good characters,brown eyes,strawberry blond hair,female characters,,living characters,293,Nov-62,1962
robert baldwin, (earth-616),\/robert_baldwin_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,293,Sep-88,1988
vance astrovik, (earth-616),\/vance_astrovik_(earth-616),public identity,good characters,hazel eyes,brown hair,male characters,,living characters,290,Jul-75,1975
wendell vaughn, (earth-616),\/wendell_vaughn_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,290,Jan-78,1978
chili storm, (earth-616),\/chili_storm_(earth-616),public identity,,green eyes,red hair,female characters,homosexual characters,living characters,284,Oct-48,1948
abner jenkins, (earth-616),\/abner_jenkins_(earth-616),public identity,good characters,brown eyes,brown hair,male characters,,living characters,284,Aug-64,1964
elektra natchios, (earth-616),\/elektra_natchios_(earth-616),secret identity,neutral characters,blue eyes,black hair,female characters,,living characters,280,Jan-81,1981
bullseye, (earth-616),\/bullseye_(lester)_(earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,,living characters,277,Mar-76,1976
forge, (earth-616),\/forge_(earth-616),public identity,good characters,brown eyes,black hair,male characters,,living characters,276,Aug-84,1984
virginia potts, (earth-616),\/virginia_potts_(earth-616),no dual identity,good characters,green eyes,red hair,female characters,,living characters,274,Sep-63,1963
walter langkowski, (earth-616),\/walter_langkowski_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,273,Apr-79,1979
gorgon, (earth-616),\/gorgon_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,272,Nov-65,1965
james madrox, (earth-616),\/james_madrox_(earth-616),public identity,good characters,brown eyes,brown hair,male characters,,living characters,271,Feb-75,1975
heimdall, (earth-616),\/heimdall_(earth-616),secret identity,good characters,grey eyes,brown hair,male characters,,living characters,270,Oct-62,1962
theresa cassidy, (earth-616),\/theresa_cassidy_(earth-616),secret identity,good characters,green eyes,red hair,female characters,,living characters,267,Apr-81,1981
laura kinney, (earth-616),\/laura_kinney_(earth-616),secret identity,good characters,green eyes,black hair,female characters,,living characters,265,4-Feb,2004
arthur douglas, (earth-616),\/arthur_douglas_(earth-616),secret identity,good characters,blue eyes,brown hair,male characters,,living characters,264,Feb-73,1973
peter parker, (earth-616),\/peter_parker_(ben_reilly)_(earth-616),secret identity,good characters,hazel eyes,blond hair,male characters,,deceased characters,263,Oct-75,1975
warlock, (earth-616),\/warlock_(technarch)_(earth-616),secret identity,good characters,black eyes,no hair,male characters,,living characters,261,Aug-84,1984
kevin plunder, (earth-616),\/kevin_plunder_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,260,Mar-65,1965
leonard samson, (earth-616),\/leonard_samson_(earth-616),public identity,good characters,brown eyes,green hair,male characters,,deceased characters,260,Jul-71,1971
melissa gold, (earth-616),\/melissa_gold_(earth-616),secret identity,good characters,green eyes,blond hair,female characters,,living characters,260,Aug-79,1979
lockheed, (earth-616),\/lockheed_(earth-616),secret identity,good characters,,no hair,male characters,,living characters,260,Feb-83,1983
mercedes knight, (earth-616),\/mercedes_knight_(earth-616),public identity,good characters,brown eyes,black hair,female characters,,living characters,259,Mar-72,1972
moira kinross, (earth-616),\/moira_kinross_(earth-616),no dual identity,good characters,blue eyes,brown hair,female characters,,deceased characters,259,Dec-75,1975
karnak, (earth-616),\/karnak_(earth-616),secret identity,good characters,blue eyes,black hair,male characters,,deceased characters,257,Dec-65,1965
namorita prentiss, (earth-616),\/namorita_prentiss_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,deceased characters,257,Jun-72,1972
lockjaw, (earth-616),\/lockjaw_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,255,Dec-65,1965
adam warlock, (earth-616),\/adam_warlock_(earth-616),no dual identity,good characters,white eyes,gold hair,male characters,,living characters,252,Sep-67,1967
heather mcneil, (earth-616),\/heather_mcneil_(earth-616),public identity,neutral characters,green eyes,red hair,female characters,,living characters,252,Nov-80,1980
curtis connors, (earth-616),\/curtis_connors_(earth-616),public identity,neutral characters,red eyes,no hair,male characters,,living characters,250,Nov-63,1963
theodore sallis, (earth-616),\/theodore_sallis_(earth-616),secret identity,good characters,red eyes,no hair,male characters,,living characters,249,May-71,1971
adrian toomes, (earth-616),\/adrian_toomes_(earth-616),public identity,bad characters,hazel eyes,bald,male characters,,living characters,248,May-63,1963
amora, (earth-616),\/amora_(earth-616),public identity,bad characters,green eyes,blond hair,female characters,,living characters,247,Apr-64,1964
clea, (earth-616),\/clea_(earth-616),no dual identity,good characters,blue eyes,white hair,female characters,,living characters,247,Nov-64,1964
mar-vell, (earth-616),\/mar-vell_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,deceased characters,245,Dec-67,1967
eugene judd, (earth-616),\/eugene_judd_(earth-616),public identity,good characters,brown eyes,bald,male characters,,living characters,245,Aug-83,1983
daimon hellstrom, (earth-616),\/daimon_hellstrom_(earth-616),no dual identity,neutral characters,red eyes,red hair,male characters,,living characters,242,Sep-73,1973
john jonah jameson iii, (earth-616),\/john_jonah_jameson_iii_(earth-616),no dual identity,good characters,brown eyes,auburn hair,male characters,,living characters,240,Mar-63,1963
triton, (earth-616),\/triton_(earth-616),no dual identity,good characters,green eyes,no hair,male characters,,living characters,240,Dec-65,1965
meggan puceanu, (earth-616),\/meggan_puceanu_(earth-616),secret identity,good characters,,,female characters,,living characters,240,Dec-83,1983
robert reynolds, (earth-616),\/robert_reynolds_(earth-616),secret identity,neutral characters,blue eyes,blond hair,male characters,,living characters,240,Sep-00,2000
aleksei sytsevich, (earth-616),\/aleksei_sytsevich_(earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,,deceased characters,239,Oct-66,1966
santo vaccarro, (earth-616),\/santo_vaccarro_(earth-616),secret identity,good characters,white eyes,no hair,male characters,,living characters,238,3-Sep,2003
jonathan clay, (earth-616),\/jonathan_clay_(earth-616),secret identity,good characters,blue eyes,red hair,male characters,homosexual characters,living characters,237,Aug-60,1960
ares, (earth-616),\/ares_(earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,,deceased characters,236,Apr-49,1949
sersi, (earth-616),\/sersi_(earth-616),secret identity,good characters,blue eyes,black hair,female characters,,living characters,236,Sep-76,1976
guido carosella, (earth-616),\/guido_carosella_(earth-616),secret identity,neutral characters,brown eyes,bald,male characters,,living characters,236,Jul-85,1985
zabu, (earth-616),\/zabu_(earth-616),public identity,good characters,green eyes,orange hair,male characters,,living characters,234,Mar-65,1965
michael morbius, (earth-616),\/michael_morbius_(earth-616),secret identity,neutral characters,red eyes,black hair,male characters,,living characters,231,Oct-71,1971
julio richter, (earth-616),\/julio_richter_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,homosexual characters,living characters,231,Jun-87,1987
phoenix force, (earth-616),\/phoenix_force_(earth-616),secret identity,neutral characters,,no hair,,,deceased characters,229,Oct-76,1976
megan gwynn, (earth-616),\/megan_gwynn_(earth-616),public identity,good characters,black eyeballs,pink hair,female characters,,living characters,229,4-Nov,2004
kyle richmond, (earth-616),\/kyle_richmond_(earth-616),secret identity,good characters,brown eyes,auburn hair,male characters,,living characters,227,Oct-69,1969
karen page, (earth-616),\/karen_page_(earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,,deceased characters,226,Apr-64,1964
tyrone johnson, (earth-616),\/tyrone_johnson_(earth-616),secret identity,good characters,brown eyes,black hair,male characters,,living characters,226,Mar-82,1982
maxwell dillon, (earth-616),\/maxwell_dillon_(earth-616),public identity,bad characters,blue eyes,auburn hair,male characters,,living characters,225,Feb-64,1964
valerie cooper, (earth-616),\/valerie_cooper_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,living characters,225,Dec-83,1983
anna may, (earth-616),\/anna_may_(earth-616),no dual identity,good characters,blue eyes,white hair,female characters,,living characters,224,Aug-64,1964
vlad dracula, (earth-616),\/vlad_dracula_(earth-616),no dual identity,bad characters,red eyes,white hair,male characters,,living characters,223,Mar-51,1951
tandy bowen, (earth-616),\/tandy_bowen_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,222,Mar-82,1982
monet st. croix, (earth-616),\/monet_st._croix_(earth-616),no dual identity,good characters,brown eyes,black hair,female characters,,living characters,221,Nov-94,1994
gamora, (earth-616),\/gamora_(earth-616),no dual identity,neutral characters,yellow eyes,black hair,female characters,,living characters,218,Jun-75,1975
amara aquilla, (earth-616),\/amara_aquilla_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,217,Oct-83,1983
julia carpenter, (earth-616),\/julia_carpenter_(earth-616),secret identity,good characters,blue eyes,strawberry blond hair,female characters,,living characters,212,Oct-84,1984
jane foster, (earth-616),\/jane_foster_(earth-616),no dual identity,good characters,blue eyes,brown hair,female characters,,living characters,211,Sep-62,1962
mortimer toynbee, (earth-616),\/mortimer_toynbee_(earth-616),secret identity,neutral characters,black eyes,brown hair,male characters,,living characters,210,Mar-64,1964
scott lang, (earth-616),\/scott_lang_(earth-616),public identity,good characters,blue eyes,strawberry blond hair,male characters,,living characters,209,Mar-79,1979
paige guthrie, (earth-616),\/paige_guthrie_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,207,Nov-84,1984
benjamin parker, (earth-616),\/benjamin_parker_(earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,,deceased characters,205,Aug-62,1962
erik josten, (earth-616),\/erik_josten_(earth-616),secret identity,good characters,brown eyes,red hair,male characters,,living characters,204,Oct-65,1965
jeanne-marie beaubier, (earth-616),\/jeanne-marie_beaubier_(earth-616),secret identity,good characters,blue eyes,black hair,female characters,,living characters,203,Apr-79,1979
carl creel, (earth-616),\/carl_creel_(earth-616),public identity,bad characters,blue eyes,bald,male characters,,living characters,202,Apr-64,1964
gloria grant, (earth-616),\/gloria_grant_(earth-616),no dual identity,,brown eyes,black hair,female characters,,living characters,202,Jan-75,1975
