id,name,full-name,identity,align,eye,hair,sex,alive,appearances,first appearance,year
49,john constantine, (new earth),public identity,good characters,blue eyes,blond hair,male characters,living characters,371,"1984, june",1984
50,albert pratt, (new earth),secret identity,good characters,blue eyes,red hair,male characters,deceased characters,370,"1940, october",1940
51,charles mcnider, (new earth),secret identity,,blue eyes,blond hair,male characters,deceased characters,361,"1941, april",1941
52,theodore knight, (new earth),secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,356,"1941, april",1941
53,lobo, (new earth),public identity,neutral characters,red eyes,black hair,male characters,living characters,353,"1983, june",1983
54,perry white, (new earth),public identity,,blue eyes,brown hair,male characters,living characters,350,"1986, october",1986
55,john henry irons, (new earth),public identity,good characters,brown eyes,,male characters,living characters,345,"1993, june",1993
56,jefferson pierce, (new earth),secret identity,good characters,brown eyes,,male characters,living characters,344,"1977, april",1977
57,slade wilson, (new earth),secret identity,neutral characters,blue eyes,white hair,male characters,living characters,336,"1980, december",1980
58,phantom stranger, (new earth),secret identity,,black eyes,black hair,male characters,living characters,335,"1952, september",1952
59,beatriz da costa, (new earth),secret identity,good characters,green eyes,green hair,female characters,living characters,325,"1982, june",1982
60,william batson, (new earth),secret identity,good characters,blue eyes,black hair,male characters,living characters,321,"1940, february",1940
61,carol ferris, (new earth),public identity,neutral characters,blue eyes,black hair,female characters,living characters,319,"1959, october",1959
62,clifford steele, (new earth),public identity,,photocellular eyes,,male characters,living characters,314,"1963, june",1963
63,etrigan, (new earth),public identity,neutral characters,red eyes,,male characters,living characters,311,"1972, september",1972
64,jennifer-lynn hayden, (new earth),secret identity,good characters,green eyes,green hair,female characters,living characters,309,"1983, september",1983
65,swamp thing, (new earth),public identity,good characters,red eyes,,male characters,living characters,309,"1972, november",1972
66,renee montoya, (new earth),secret identity,good characters,brown eyes,black hair,female characters,living characters,308,"1992, march",1992
67,harvey dent, (new earth),public identity,bad characters,blue eyes,brown hair,male characters,living characters,306,"1942, august",1942
68,courtney whitmore, (new earth),secret identity,good characters,blue eyes,blond hair,female characters,living characters,305,"1999, july",1999
69,kendra saunders, (new earth),secret identity,good characters,hazel eyes,brown hair,female characters,deceased characters,301,"1999, august",1999
70,michael holt, (new earth),secret identity,,brown eyes,black hair,male characters,living characters,300,"1997, june",1997
71,kilowog, (new earth),public identity,good characters,red eyes,,male characters,living characters,299,"1986, june",1986
72,kara zor-el, (new earth),secret identity,good characters,blue eyes,blond hair,female characters,living characters,297,"2004, may",2004
73,jonah hex, (new earth),public identity,good characters,blue eyes,blond hair,male characters,deceased characters,291,"1972, march",1972
74,rex tyler, (new earth),secret identity,good characters,blue eyes,brown hair,male characters,living characters,288,"1940, march",1940
75,pamela isley, (new earth),secret identity,neutral characters,green eyes,red hair,female characters,living characters,286,"1966, june",1966
76,pieter cross, (new earth),secret identity,good characters,blue eyes,black hair,male characters,living characters,284,"1999, february",1999
77,jonathan l. thunder, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,living characters,282,"1940, january",1940
78,mari mccabe, (new earth),secret identity,good characters,amber eyes,brown hair,female characters,living characters,268,"1981, july",1981
79,scott free, (new earth),secret identity,good characters,blue eyes,black hair,male characters,living characters,268,"1971, april",1971
80,martha clark, (new earth),public identity,good characters,blue eyes,white hair,female characters,living characters,266,"1986, october",1986
81,boston brand, (new earth),secret identity,good characters,blue eyes,,male characters,deceased characters,262,"1967, october",1967
82,daniel turpin, (new earth),public identity,,brown eyes,brown hair,male characters,deceased characters,261,"1942, june",1942
83,john zatara, (new earth),secret identity,good characters,blue eyes,black hair,male characters,deceased characters,256,"1938, june",1938
84,jonathan kent, (new earth),public identity,good characters,blue eyes,white hair,male characters,deceased characters,254,"1986, october",1986
85,oswald cobblepot, (new earth),public identity,,blue eyes,black hair,male characters,living characters,253,"1941, december",1941
86,tatsu yamashiro, (new earth),secret identity,good characters,brown eyes,black hair,female characters,living characters,252,"1983, july",1983
87,lawrence trainor, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,living characters,250,"1963, june",1963
88,albert rothstein, (new earth),secret identity,good characters,blue eyes,,male characters,living characters,245,"1983, september",1983
89,brion markov, (new earth),secret identity,good characters,green eyes,strawberry blond hair,male characters,living characters,245,"1983, july",1983
90,sanderson hawkins, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,living characters,241,"1941, december",1941
91,jonathan chambers, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,239,"1941, september",1941
92,orion, (new earth),public identity,good characters,blue eyes,strawberry blond hair,male characters,deceased characters,237,"1971, march",1971
93,thaal sinestro, (new earth),public identity,neutral characters,yellow eyes,black hair,male characters,living characters,237,"1961, august",1961
94,cassandra cain, (new earth),secret identity,good characters,brown eyes,black hair,female characters,living characters,235,"1999, july",1999
95,jason todd, (new earth),secret identity,neutral characters,blue eyes,black hair,male characters,living characters,235,"1987, june",1987
96,susan dearbon, (new earth),public identity,good characters,,black hair,female characters,deceased characters,235,"1961, march",1961
97,jean-paul valley, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,234,"1992, october",1992
98,hippolyta, (new earth),public identity,good characters,blue eyes,black hair,female characters,living characters,231,"1987, february",1987
99,joseph wilson, (new earth),secret identity,neutral characters,green eyes,blond hair,male characters,living characters,229,"1984, may",1984
100,bernhard baker, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,living characters,229,"1965, september",1965
101,sylvester pemberton, (new earth),secret identity,good characters,blue eyes,black hair,male characters,deceased characters,229,"1941, october",1941
102,jesse chambers, (new earth),public identity,good characters,blue eyes,blond hair,female characters,living characters,228,"1992, august",1992
103,floyd lawton, (new earth),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,227,"1950, june",1950
104,mera, (new earth),public identity,,blue eyes,red hair,female characters,living characters,226,"1963, october",1963
105,tora olafsdotter, (new earth),public identity,good characters,blue eyes,white hair,female characters,living characters,225,"1988, april",1988
106,george harkness, (new earth),secret identity,,brown eyes,brown hair,male characters,living characters,224,"1960, december",1960
107,amanda waller, (new earth),public identity,good characters,brown eyes,black hair,female characters,living characters,222,"1986, november",1986
108,jonathan crane, (new earth),public identity,bad characters,blue eyes,brown hair,male characters,living characters,222,"1941, september",1941
109,leonard snart, (new earth),secret identity,,brown eyes,brown hair,male characters,living characters,219,"1957, june",1957
110,shiera sanders, (new earth),secret identity,good characters,brown eyes,red hair,female characters,living characters,219,"1940, january",1940
111,maxwell lord iv, (new earth),public identity,neutral characters,black eyes,brown hair,male characters,living characters,218,"1987, may",1987
112,jeb stuart, (new earth),public identity,good characters,blue eyes,brown hair,male characters,living characters,218,"1961, may",1961
113,damian wayne, (prime earth),secret identity,good characters,blue eyes,black hair,male characters,deceased characters,216,"1987, september",1987
114,big barda, (new earth),secret identity,good characters,blue eyes,black hair,female characters,deceased characters,216,"1971, october",1971
115,niles caulder, (new earth),public identity,good characters,blue eyes,grey hair,male characters,living characters,214,"1963, june",1963
116,james corrigan, (new earth),secret identity,good characters,blue eyes,red hair,male characters,deceased characters,214,"1940, february",1940
117,samuel bradley, (new earth),public identity,good characters,grey eyes,grey hair,male characters,living characters,213,"1937, march",1937
118,richard tyler, (new earth),public identity,good characters,brown eyes,brown hair,male characters,living characters,212,"1985, november",1985
119,james ewell brown stuart, (new earth),public identity,good characters,,brown hair,male characters,deceased characters,212,"1961, may",1961
120,todd rice, (new earth),public identity,good characters,brown eyes,brown hair,male characters,living characters,208,"1983, september",1983
121,yz, (new earth),secret identity,good characters,red eyes,,male characters,living characters,207,"1940, january",1940
122,matrix, (pocket universe),public identity,good characters,blue eyes,blond hair,female characters,living characters,206,"1988, april",1988
123,wolfgang winks, (new earth),public identity,good characters,,black hair,male characters,living characters,206,"1942, november",1942
124,william glenmorgan, (new earth),public identity,good characters,blue eyes,black hair,male characters,deceased characters,199,"1940, june",1940
125,stephanie brown, (new earth),secret identity,good characters,blue eyes,blond hair,female characters,living characters,198,"1992, august",1992
126,raymond terrill, (new earth),secret identity,good characters,green eyes,red hair,male characters,living characters,192,"1992, february",1992
127,adam blake, (new earth),public identity,good characters,hazel eyes,brown hair,male characters,living characters,191,"1951, june",1951
128,kimiyo hoshi, (new earth),secret identity,,black eyes,black hair,female characters,living characters,189,"1985, july",1985
129,jack ryder, (new earth),secret identity,good characters,blue eyes,black hair,male characters,living characters,188,"1968, april",1968
130,vandar adg, (new earth),public identity,,brown eyes,black hair,male characters,living characters,188,"1943, december",1943
131,justin arthur, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,living characters,184,"1941, september",1941
132,max mercury, (new earth),secret identity,good characters,blue eyes,grey hair,male characters,living characters,183,"1940, november",1940
133,abigail arcane, (new earth),public identity,good characters,blue eyes,white hair,female characters,living characters,182,"1973, january",1973
134,thomas haukins, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,181,"1947, june",1947
135,margaret sawyer, (new earth),public identity,,blue eyes,,female characters,living characters,180,"1987, april",1987
136,waylon jones, (new earth),public identity,bad characters,red eyes,,male characters,living characters,180,"1983, march",1983
137,travis morgan, (new earth),public identity,good characters,blue eyes,white hair,male characters,deceased characters,180,"1975, november",1975
138,gorilla grodd, (new earth),public identity,bad characters,grey eyes,black hair,male characters,living characters,179,"1959, may",1959
139,talia al ghul, (new earth),secret identity,bad characters,brown eyes,brown hair,female characters,deceased characters,177,"1971, may",1971
140,adam strange, (new earth),public identity,,blue eyes,blond hair,male characters,living characters,177,"1958, december",1958
141,patrick dugan, (new earth),secret identity,good characters,blue eyes,red hair,male characters,living characters,177,"1941, october",1941
142,daniel cassidy, (new earth),secret identity,good characters,yellow eyes,,male characters,living characters,176,"1984, june",1984
143,james harper clone, (new earth),public identity,good characters,blue eyes,brown hair,male characters,living characters,176,"1971, january",1971
144,thomas kalmaku, (new earth),public identity,good characters,brown eyes,black hair,male characters,living characters,176,"1960, october",1960
145,gabrielle doe, (new earth),secret identity,good characters,blue eyes,blond hair,female characters,living characters,175,"1983, july",1983
146,henry hall, (new earth),secret identity,good characters,red eyes,brown hair,male characters,living characters,175,"1968, june",1968
147,connor hawke, (new earth),secret identity,good characters,green eyes,blond hair,male characters,living characters,174,"1994, october",1994
148,linda park, (new earth),public identity,,brown eyes,black hair,female characters,living characters,174,"1989, july",1989
149,cyrus gold, (new earth),secret identity,bad characters,black eyes,white hair,male characters,deceased characters,174,"1944, october",1944
150,edward nashton, (new earth),public identity,neutral characters,blue eyes,black hair,male characters,living characters,173,"1988, january",1988
151,arisia rrab, (new earth),public identity,good characters,yellow eyes,blond hair,female characters,living characters,173,"1981, may",1981
152,robert crane, (new earth),secret identity,good characters,red eyes,,male characters,living characters,171,"1942, april",1942
153,joan williams, (new earth),public identity,,blue eyes,grey hair,female characters,living characters,171,"1940, january",1940
154,william magnus, (new earth),public identity,good characters,blue eyes,brown hair,male characters,living characters,170,"1962, april",1962
155,mary batson, (new earth),secret identity,good characters,blue eyes,brown hair,female characters,living characters,168,"1995, april",1995
156,jean loring, (new earth),public identity,bad characters,green eyes,black hair,female characters,deceased characters,168,"1961, october",1961
157,oberon, (new earth),public identity,,blue eyes,white hair,male characters,living characters,167,"1971, april",1971
158,grant emerson, (new earth),public identity,good characters,blue eyes,black hair,male characters,deceased characters,166,"1994, april",1994
159,rita farr, (new earth),secret identity,good characters,brown eyes,brown hair,female characters,living characters,166,"1963, june",1963
160,jason rusch, (new earth),secret identity,good characters,brown eyes,black hair,male characters,living characters,165,"2004, july",2004
161,hector hall, (new earth),secret identity,good characters,blue eyes,white hair,male characters,deceased characters,165,"1983, september",1983
162,mercury, (new earth),secret identity,good characters,photocellular eyes,,male characters,living characters,165,"1962, april",1962
163,jaime reyes, (new earth),secret identity,good characters,brown eyes,black hair,male characters,living characters,164,"2006, february",2006
164,platinum, (new earth),secret identity,good characters,photocellular eyes,,female characters,living characters,164,"1962, april",1962
165,andre chavard, (new earth),public identity,good characters,,brown hair,male characters,living characters,164,"1942, june",1942
166,daniel leong, (new earth),secret identity,good characters,black eyes,black hair,male characters,deceased characters,164,"1942, february",1942
167,vril dox ii, (new earth),public identity,good characters,green eyes,blond hair,male characters,living characters,163,"1964, february",1964
168,"roy raymond, sr.", (new earth),public identity,good characters,blue eyes,brown hair,male characters,living characters,163,"1949, november",1949
169,uncle sam, (new earth),secret identity,,blue eyes,white hair,male characters,living characters,162,"1940, july",1940
170,metron, (new earth),secret identity,neutral characters,blue eyes,black hair,male characters,deceased characters,161,"1971, march",1971
171,iron, (new earth),secret identity,good characters,photocellular eyes,,male characters,living characters,161,"1962, april",1962
172,lead, (new earth),secret identity,good characters,photocellular eyes,,male characters,living characters,161,"1962, april",1962
173,lucas carr, (new earth),public identity,,blue eyes,brown hair,male characters,living characters,161,"1960, march",1960
174,hartley rathaway, (new earth),secret identity,good characters,blue eyes,red hair,male characters,living characters,160,"1959, may",1959
175,lana lang, (new earth),public identity,good characters,green eyes,red hair,female characters,living characters,159,"1986, october",1986
176,rose wilson, (new earth),secret identity,good characters,blue eyes,white hair,female characters,living characters,158,"1992, october",1992
177,desaad, (new earth),public identity,bad characters,black eyes,black hair,male characters,living characters,158,"1971, may",1971
178,charles taine, (pre-zero hour),secret identity,good characters,black eyes,black hair,male characters,living characters,158,"1961, may",1961
179,bane, (new earth),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,157,"1993, january",1993
180,salakk, (new earth),secret identity,good characters,white eyes,,male characters,living characters,155,"1982, february",1982
181,tin, (new earth),secret identity,good characters,photocellular eyes,,male characters,living characters,155,"1962, april",1962
182,samuel morgan, (new earth),,good characters,,red hair,male characters,deceased characters,155,"1937, march",1937
183,eve eden, (new earth),secret identity,neutral characters,blue eyes,blond hair,female characters,living characters,154,"1966, september",1966
184,harleen quinzel, (new earth),public identity,bad characters,blue eyes,blond hair,female characters,living characters,153,"1999, october",1999
185,benjamin turner, (new earth),secret identity,neutral characters,brown eyes,black hair,male characters,living characters,153,"1975, may",1975
186,mark mardon, (new earth),secret identity,bad characters,blue eyes,black hair,male characters,living characters,152,"1960, january",1960
187,teth-adam, (new earth),secret identity,neutral characters,brown eyes,black hair,male characters,living characters,152,"1945, december",1945
188,catherine grant, (new earth),public identity,good characters,blue eyes,blond hair,female characters,living characters,151,"1987, january",1987
189,terrence sloane, (new earth),secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,151,"1942, january",1942
190,jason blood, (new earth),public identity,good characters,blue eyes,red hair,male characters,living characters,148,"1972, september",1972
191,gold, (new earth),secret identity,good characters,photocellular eyes,,male characters,living characters,147,"1962, april",1962
192,victor fries, (new earth),secret identity,bad characters,blue eyes,,male characters,living characters,143,"1959, february",1959
193,thomas wayne, (new earth),public identity,good characters,brown eyes,brown hair,male characters,deceased characters,142,"1987, february",1987
194,arthur light, (new earth),public identity,bad characters,black eyes,black hair,male characters,deceased characters,142,"1962, june",1962
195,lester davis, (new earth),public identity,good characters,,black hair,male characters,living characters,142,"1957, february",1957
196,artemis of bana-mighdall, (new earth),public identity,good characters,green eyes,red hair,female characters,living characters,141,"1994, september",1994
197,alanna strange, (new earth),public identity,good characters,blue eyes,black hair,female characters,living characters,141,"1958, december",1958
198,nuidis vulko, (new earth),public identity,good characters,blue eyes,white hair,male characters,living characters,140,"1967, september",1967
199,steven dayton, (new earth),secret identity,good characters,blue eyes,brown hair,male characters,living characters,140,"1964, november",1964
200,lee travis, (new earth),secret identity,good characters,black eyes,black hair,male characters,deceased characters,139,"1938, october",1938
201,martin stein, (new earth),secret identity,good characters,brown eyes,grey hair,male characters,deceased characters,138,"1978, march",1978
202,solis, (new earth),secret identity,,blue eyes,strawberry blond hair,male characters,living characters,138,"1971, march",1971
203,alfred twidgett, (new earth),public identity,,,,male characters,living characters,137,"1942, june",1942
204,tubby watts, (new earth),,good characters,,red hair,male characters,living characters,137,"1941, september",1941
205,unknown soldier i, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,136,"1970, july",1970
206,giovanni giuseppe, (new earth),secret identity,neutral characters,blue eyes,blond hair,male characters,deceased characters,136,"1960, july",1960
207,cynthia reynolds, (new earth),secret identity,good characters,blue eyes,black hair,female characters,living characters,134,"1984, october",1984
208,victoria vale, (new earth),public identity,good characters,blue eyes,red hair,female characters,living characters,134,"1948, october",1948
209,lucius fox, (new earth),public identity,good characters,brown eyes,black hair,male characters,living characters,133,"1979, january",1979
210,ganthet, (new earth),public identity,good characters,green eyes,white hair,male characters,living characters,132,1992,1992
211,izaya, (new earth),public identity,good characters,grey eyes,white hair,male characters,deceased characters,132,"1971, march",1971
212,barbara ann minerva, (new earth),public identity,,brown eyes,,female characters,living characters,131,"1987, august",1987
213,rory regan, (new earth),secret identity,good characters,blue eyes,brown hair,male characters,living characters,131,"1976, september",1976
214,eclipso, (new earth),secret identity,bad characters,red eyes,black hair,male characters,living characters,131,"1963, july",1963
215,mick rory, (new earth),public identity,,blue eyes,,male characters,living characters,131,"1963, november",1963
216,kyle morgan, (new earth),public identity,good characters,brown eyes,blond hair,male characters,living characters,131,"1957, february",1957
217,matthew ryan, (new earth),public identity,good characters,blue eyes,red hair,male characters,living characters,131,"1957, february",1957
218,dinah drake, (new earth),secret identity,good characters,blue eyes,black hair,female characters,deceased characters,131,"1947, august",1947
219,robert langstrom, (new earth),secret identity,neutral characters,brown eyes,brown hair,male characters,living characters,130,"1970, june",1970
220,sargent steel, (new earth),public identity,good characters,blue eyes,brown hair,male characters,living characters,130,"1964, december",1964
221,victory, (new earth),,good characters,black eyes,white hair,male characters,living characters,130,"1941, september",1941
222,katma tui, (new earth),public identity,good characters,,black hair,female characters,deceased characters,129,"1964, july",1964
223,walter haley, (new earth),public identity,good characters,brown eyes,brown hair,male characters,living characters,129,"1957, february",1957
224,charles victor szasz, (new earth),secret identity,good characters,blue eyes,strawberry blond hair,male characters,deceased characters,128,"1967, june",1967
225,ares, (new earth),public identity,bad characters,red eyes,blond hair,male characters,living characters,127,"1987, february",1987
226,rip carter, (new earth),public identity,good characters,,black hair,male characters,living characters,127,"1942, june",1942
227,eradicator, (new earth),public identity,good characters,photocellular eyes,black hair,male characters,deceased characters,126,"1989, may",1989
228,emil hamilton, (new earth),public identity,bad characters,hazel eyes,grey hair,male characters,living characters,126,"1987, january",1987
229,richard swift, (new earth),secret identity,neutral characters,grey eyes,black hair,male characters,living characters,126,"1942, september",1942
230,frederick freeman, (new earth),secret identity,good characters,blue eyes,black hair,male characters,living characters,125,"1995, may",1995
231,katar hol, (new earth),secret identity,good characters,blue eyes,black hair,male characters,living characters,125,"1989, august",1989
232,richard occult, (new earth),secret identity,,grey eyes,black hair,male characters,living characters,125,"1935, october",1935
233,maxima, (new earth),public identity,good characters,brown eyes,red hair,female characters,deceased characters,124,"1989, september",1989
234,dawn granger, (new earth),secret identity,good characters,blue eyes,white hair,female characters,living characters,124,"1988, october",1988
235,inza cramer, (new earth),secret identity,good characters,green eyes,strawberry blond hair,female characters,deceased characters,124,"1940, may",1940
236,linda danvers, (new earth),secret identity,good characters,blue eyes,blond hair,female characters,living characters,123,"1996, september",1996
237,dubbilex, (new earth),public identity,good characters,green eyes,,male characters,living characters,123,"1971, march",1971
238,gunner mackay, (new earth),public identity,good characters,blue eyes,blond hair,male characters,deceased characters,123,"1959, may",1959
239,antonia monetti, (new earth),secret identity,good characters,blue eyes,black hair,female characters,living characters,122,"1996, october",1996
240,jack knight, (new earth),public identity,good characters,black eyes,black hair,male characters,living characters,122,"1994, september",1994
241,skeets, (new earth),public identity,good characters,,,male characters,living characters,122,"1986, february",1986
242,nimue inwudu, (new earth),public identity,good characters,green eyes,black hair,female characters,living characters,121,"1978, february",1978
243,khaji da, (new earth),secret identity,good characters,,,,living characters,121,"1964, june",1964
244,sarge clay, (new earth),public identity,good characters,blue eyes,strawberry blond hair,male characters,deceased characters,121,"1959, may",1959
245,elizabeth lawrence, (new earth),secret identity,,blue eyes,blond hair,female characters,living characters,120,"1942, december",1942
246,pallas athena, (new earth),public identity,neutral characters,grey eyes,brown hair,female characters,living characters,118,"1958, may",1958
247,crispus allen, (new earth),secret identity,good characters,brown eyes,,male characters,deceased characters,116,"2000, march",2000
248,evan mcculloch, (new earth),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,116,"1989, february",1989
249,terrence long, (new earth),public identity,good characters,blue eyes,red hair,male characters,deceased characters,116,"1981, june",1981
250,strata, (new earth),public identity,good characters,white eyes,,female characters,living characters,115,"1989, february",1989
251,granny goodness, (new earth),public identity,bad characters,blue eyes,white hair,female characters,deceased characters,115,"1971, june",1971
252,dolphin, (new earth),,good characters,blue eyes,silver hair,female characters,deceased characters,115,"1968, december",1968
253,zeus, (new earth),public identity,neutral characters,blue eyes,white hair,male characters,living characters,115,"1941, december",1941
254,holly robinson, (new earth),secret identity,good characters,blue eyes,red hair,female characters,living characters,114,"1987, february",1987
255,martha kane, (new earth),public identity,good characters,blue eyes,black hair,female characters,deceased characters,113,"1987, february",1987
256,jason woodrue, (new earth),public identity,bad characters,red eyes,green hair,male characters,living characters,113,"1962, july",1962
257,john sargent, (new earth),secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,113,"1941, may",1941
258,dian belmont, (new earth),public identity,good characters,hazel eyes,brown hair,female characters,deceased characters,113,"1940, february",1940
259,edward bloomberg, (new earth),secret identity,good characters,yellow eyes,grey hair,male characters,deceased characters,111,"1984, june",1984
260,leslie thompkins, (new earth),public identity,good characters,blue eyes,white hair,female characters,living characters,111,"1976, march",1976
261,tara markov, (team titans),secret identity,good characters,blue eyes,blond hair,female characters,deceased characters,110,1991,1991
262,dmitri pushkin, (new earth),secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,110,"1987, february",1987
263,june moone, (new earth),secret identity,good characters,green eyes,black hair,female characters,living characters,110,"1966, april",1966
264,mia dearden, (new earth),secret identity,good characters,blue eyes,blond hair,female characters,living characters,109,"2001, may",2001
265,krypto, (new earth),secret identity,good characters,blue eyes,white hair,male characters,living characters,109,"1955, march",1955
266,ohiyesa i, (new earth),public identity,good characters,black eyes,black hair,male characters,living characters,109,"1949, september",1949
267,donald richards, (new earth),secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,109,"1942, march",1942
268,zauriel, (new earth),public identity,good characters,red eyes,white hair,male characters,living characters,108,"1997, june",1997
269,leonid kovar, (new earth),secret identity,good characters,green eyes,blond hair,male characters,living characters,108,"1968, december",1968
270,thomas blake, (new earth),secret identity,neutral characters,blue eyes,blond hair,male characters,living characters,108,"1963, january",1963
271,emily briggs, (new earth),public identity,good characters,blue eyes,red hair,female characters,living characters,107,"1985, september",1985
272,lilith clay, (new earth),secret identity,good characters,green eyes,strawberry blond hair,female characters,deceased characters,107,"1970, february",1970
273,thomas tresser, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,living characters,106,"1980, september",1980
274,hans von hammer, (new earth),public identity,good characters,blue eyes,red hair,male characters,living characters,106,"1965, february",1965
