id,name,full-name,identity,align,eye,hair,sex,alive,appearances,first appearance,year
28,jean grey, (earth-616),public identity,good characters,green eyes,red hair,female characters,deceased characters,1107,Sep-63,1963
29,natalia romanova, (earth-616),public identity,good characters,green eyes,red hair,female characters,living characters,1050,Apr-64,1964
30,kurt wagner, (earth-616),secret identity,good characters,yellow eyes,blue hair,male characters,living characters,1047,May-75,1975
31,vision, (earth-616),secret identity,good characters,gold eyes,no hair,male characters,living characters,1007,Oct-68,1968
32,may reilly, (earth-616),no dual identity,good characters,blue eyes,grey hair,female characters,living characters,1000,Aug-62,1962
33,katherine pryde, (earth-616),secret identity,good characters,hazel eyes,brown hair,female characters,living characters,886,Jan-80,1980
34,carol danvers, (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,881,Mar-68,1968
35,jennifer walters, (earth-616),public identity,good characters,green eyes,brown hair,female characters,living characters,881,Feb-80,1980
36,emma frost, (earth-616),public identity,neutral characters,blue eyes,brown hair,female characters,living characters,880,Jan-80,1980
37,frank castle, (earth-616),public identity,neutral characters,blue eyes,black hair,male characters,living characters,878,Feb-74,1974
38,luke cage, (earth-616),no dual identity,good characters,brown eyes,black hair,male characters,living characters,856,Jun-72,1972
39,rogue, (anna marie),secret identity,good characters,green eyes,auburn hair,female characters,living characters,850,,
40,conan, (earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,living characters,787,Oct-70,1970
41,joseph robertson, (earth-616),no dual identity,good characters,brown eyes,white hair,male characters,living characters,752,Aug-67,1967
42,pietro maximoff, (earth-616),public identity,good characters,blue eyes,silver hair,male characters,living characters,740,Mar-64,1964
43,hercules, (earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,living characters,725,Oct-65,1965
44,victor von doom, (earth-616),public identity,bad characters,brown eyes,brown hair,male characters,living characters,721,Jul-62,1962
45,max eisenhardt, (earth-616),public identity,neutral characters,grey eyes,bald,male characters,living characters,709,Sep-63,1963
46,elizabeth braddock, (earth-616),secret identity,neutral characters,blue eyes,purple hair,female characters,living characters,708,Dec-76,1976
47,norrin radd, (earth-616),public identity,good characters,blue eyes,bald,male characters,living characters,696,Mar-66,1966
48,norman osborn, (earth-616),public identity,bad characters,blue eyes,auburn hair,male characters,living characters,692,Jul-64,1964
49,eugene thompson, (earth-616),secret identity,good characters,blue eyes,strawberry blond hair,male characters,living characters,689,Aug-62,1962
50,simon williams, (earth-616),public identity,good characters,red eyes,grey hair,male characters,living characters,686,Oct-64,1964
51,samuel guthrie, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,657,Nov-82,1982
52,james buchanan barnes, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,641,Mar-41,1941
53,remy lebeau, (earth-616),secret identity,good characters,black eyeballs,brown hair,male characters,living characters,636,Jul-90,1990
54,daniel rand, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,618,May-74,1974
55,nathan summers, (earth-616),public identity,neutral characters,blue eyes,white hair,male characters,living characters,612,Jan-86,1986
56,elizabeth brant, (earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,living characters,599,Sep-63,1963
57,richard jones, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,590,May-62,1962
58,edwin jarvis, (earth-616),no dual identity,good characters,blue eyes,white hair,male characters,living characters,567,Nov-64,1964
59,alexander summers, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,558,Mar-69,1969
60,patricia walker, (earth-616),secret identity,good characters,blue eyes,red hair,female characters,living characters,550,Nov-44,1944
61,human torch, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,548,Oct-39,1939
62,loki laufeyson, (earth-616),no dual identity,neutral characters,green eyes,black hair,genderfluid characters,living characters,532,Aug-49,1949
63,franklin nelson, (earth-616),no dual identity,good characters,blue eyes,bald,male characters,living characters,528,Apr-64,1964
64,brian braddock, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,528,Oct-76,1976
65,otto octavius, (earth-616),secret identity,neutral characters,hazel eyes,brown hair,male characters,deceased characters,526,Jul-63,1963
66,james rhodes, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,525,Jan-79,1979
67,timothy dugan, (earth-616),public identity,good characters,blue eyes,red hair,male characters,deceased characters,517,May-63,1963
68,crystalia amaquelin, (earth-616),public identity,good characters,green eyes,strawberry blond hair,female characters,living characters,512,Dec-65,1965
69,samuel wilson, (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,512,Sep-69,1969
70,wilson fisk, (earth-616),public identity,bad characters,blue eyes,bald,male characters,living characters,503,Jul-67,1967
71,odin borson, (earth-616),public identity,neutral characters,blue eyes,white hair,male characters,living characters,502,Oct-62,1962
72,deadpool, (wade wilson),secret identity,neutral characters,brown eyes,bald,male characters,living characters,500,Feb-91,1991
73,dane whitman, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,478,Dec-67,1967
74,harold osborn, (earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,living characters,474,Dec-65,1965
75,franklin richards, (earth-616),no dual identity,good characters,blue eyes,blond hair,male characters,living characters,473,Nov-68,1968
76,jessica drew, (earth-616),secret identity,good characters,green eyes,auburn hair,female characters,living characters,471,Feb-77,1977
77,roberto da costa, (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,464,Nov-82,1982
78,rahne sinclair, (earth-616),secret identity,good characters,green eyes,red hair,female characters,living characters,448,Nov-82,1982
79,elizabeth ross, (earth-616),public identity,good characters,blue eyes,black hair,female characters,living characters,446,May-62,1962
80,lorna dane, (earth-616),secret identity,good characters,green eyes,green hair,female characters,living characters,433,Oct-68,1968
81,blaine colt, (earth-616),public identity,,blue eyes,blond hair,male characters,deceased characters,429,,
82,johnathon blaze, (earth-616),secret identity,good characters,blue eyes,reddish blond hair,male characters,living characters,426,Aug-72,1972
83,sif, (earth-616),no dual identity,good characters,blue eyes,black hair,female characters,living characters,422,Mar-64,1964
84,red hulk, (thaddeus ross),public identity,neutral characters,blue eyes,black hair,male characters,living characters,415,May-62,1962
85,jubilation lee, (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,408,May-89,1989
86,volstagg, (earth-616),public identity,good characters,blue eyes,red hair,male characters,living characters,406,Aug-65,1965
87,balder odinson, (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,403,Oct-62,1962
88,galactus, (earth-616),secret identity,neutral characters,brown eyes,no hair,male characters,living characters,390,Mar-66,1966
89,danielle moonstar, (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,388,Nov-82,1982
90,marc spector, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,387,Aug-75,1975
91,gwendolyne stacy, (earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,deceased characters,384,Dec-65,1965
92,medusalith amaquelin, (earth-616),public identity,good characters,green eyes,red hair,female characters,living characters,382,Mar-65,1965
93,sabretooth, (victor creed),secret identity,bad characters,amber eyes,blond hair,male characters,living characters,382,Aug-77,1977
94,illyana rasputina, (earth-616),secret identity,neutral characters,blue eyes,blond hair,female characters,living characters,380,May-75,1975
95,johann shmidt, (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,deceased characters,376,Aug-41,1941
96,fandral, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,375,Aug-65,1965
97,sean cassidy, (earth-616),secret identity,neutral characters,green eyes,strawberry blond hair,male characters,living characters,374,Jan-67,1967
98,thomas raymond, (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,373,Sep-40,1940
99,uatu, (earth-616),public identity,good characters,blue eyes,bald,male characters,deceased characters,373,Apr-63,1963
100,richard rider, (earth-616),public identity,good characters,brown eyes,brown hair,male characters,deceased characters,373,Sep-76,1976
101,hogun, (earth-616),public identity,good characters,grey eyes,black hair,male characters,living characters,371,Aug-65,1965
102,raven darkholme, (earth-616),secret identity,bad characters,yellow eyes,red hair,female characters,living characters,371,Apr-78,1978
103,barbara morse, (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,368,Jun-71,1971
104,blackagar boltagon, (earth-616),no dual identity,good characters,blue eyes,black hair,male characters,living characters,366,Dec-65,1965
105,brunnhilde, (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,361,Dec-70,1970
106,alison blaire, (earth-616),public identity,good characters,blue eyes,strawberry blond hair,female characters,living characters,353,Feb-80,1980
107,venom, (earth-616),known to authorities identity,neutral characters,variable eyes,no hair,agender characters,living characters,348,May-84,1984
108,john walker, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,346,Nov-86,1986
109,greer grant, (earth-616),public identity,good characters,green eyes,black hair,female characters,living characters,342,Nov-72,1972
110,karla sofen, (earth-616),public identity,neutral characters,blue eyes,blond hair,female characters,living characters,340,Dec-75,1975
111,william baker, (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,living characters,338,Sep-63,1963
112,sharon carter, (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,332,Mar-66,1966
113,felicia hardy, (earth-616),public identity,bad characters,,blond hair,female characters,living characters,332,Jul-79,1979
114,cain marko, (earth-616),public identity,neutral characters,blue eyes,red hair,male characters,living characters,329,Jul-65,1965
115,monica rambeau, (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,327,,
116,maria hill, (earth-616),no dual identity,good characters,brown eyes,black hair,female characters,living characters,325,5-Apr,2005
117,ben urich, (earth-616),no dual identity,good characters,brown eyes,brown hair,male characters,living characters,324,Jul-78,1978
118,heather douglas, (earth-616),secret identity,good characters,blue eyes,bald,female characters,living characters,323,Jan-73,1973
119,millicent collins, (earth-616),public identity,,blue eyes,blond hair,female characters,living characters,321,Dec-45,1945
120,james proudstar, (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,320,Jun-84,1984
121,angelica jones, (earth-616),known to authorities identity,good characters,green eyes,red hair,female characters,living characters,319,May-85,1985
122,edward brock, (earth-616),public identity,neutral characters,black eyes,blond hair,male characters,living characters,318,Sep-86,1986
123,macdonald gargan, (earth-616),secret identity,bad characters,brown eyes,bald,male characters,living characters,317,Dec-64,1964
124,mephisto, (earth-616),no dual identity,bad characters,white eyes,black hair,male characters,living characters,316,Dec-68,1968
125,tabitha smith, (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,316,Nov-85,1985
126,jean-paul beaubier, (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,313,Apr-79,1979
127,daniel ketch, (earth-616),secret identity,neutral characters,green eyes,brown hair,male characters,living characters,311,May-90,1990
128,neena thurman, (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,310,Mar-92,1992
129,wong, (earth-616),no dual identity,good characters,brown eyes,bald,male characters,living characters,306,Jul-63,1963
130,thanos, (earth-616),no dual identity,bad characters,red eyes,no hair,male characters,living characters,306,Feb-73,1973
131,shang-chi, (earth-616),no dual identity,good characters,brown eyes,black hair,male characters,living characters,296,Dec-73,1973
132,alicia masters, (earth-616),no dual identity,good characters,brown eyes,strawberry blond hair,female characters,living characters,293,Nov-62,1962
133,robert baldwin, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,293,Sep-88,1988
134,vance astrovik, (earth-616),public identity,good characters,hazel eyes,brown hair,male characters,living characters,290,Jul-75,1975
135,wendell vaughn, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,290,Jan-78,1978
136,chili storm, (earth-616),public identity,,green eyes,red hair,female characters,living characters,284,Oct-48,1948
137,abner jenkins, (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,284,Aug-64,1964
138,elektra natchios, (earth-616),secret identity,neutral characters,blue eyes,black hair,female characters,living characters,280,Jan-81,1981
139,bullseye, (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,living characters,277,Mar-76,1976
140,forge, (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,276,Aug-84,1984
141,virginia potts, (earth-616),no dual identity,good characters,green eyes,red hair,female characters,living characters,274,Sep-63,1963
142,walter langkowski, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,273,Apr-79,1979
143,gorgon, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,272,Nov-65,1965
144,james madrox, (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,271,Feb-75,1975
145,heimdall, (earth-616),secret identity,good characters,grey eyes,brown hair,male characters,living characters,270,Oct-62,1962
146,theresa cassidy, (earth-616),secret identity,good characters,green eyes,red hair,female characters,living characters,267,Apr-81,1981
147,laura kinney, (earth-616),secret identity,good characters,green eyes,black hair,female characters,living characters,265,4-Feb,2004
148,arthur douglas, (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,264,Feb-73,1973
149,peter parker, (earth-616),secret identity,good characters,hazel eyes,blond hair,male characters,deceased characters,263,Oct-75,1975
150,warlock, (earth-616),secret identity,good characters,black eyes,no hair,male characters,living characters,261,Aug-84,1984
151,kevin plunder, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,260,Mar-65,1965
152,leonard samson, (earth-616),public identity,good characters,brown eyes,green hair,male characters,deceased characters,260,Jul-71,1971
153,melissa gold, (earth-616),secret identity,good characters,green eyes,blond hair,female characters,living characters,260,Aug-79,1979
154,lockheed, (earth-616),secret identity,good characters,,no hair,male characters,living characters,260,Feb-83,1983
155,mercedes knight, (earth-616),public identity,good characters,brown eyes,black hair,female characters,living characters,259,Mar-72,1972
156,moira kinross, (earth-616),no dual identity,good characters,blue eyes,brown hair,female characters,deceased characters,259,Dec-75,1975
157,karnak, (earth-616),secret identity,good characters,blue eyes,black hair,male characters,deceased characters,257,Dec-65,1965
158,namorita prentiss, (earth-616),public identity,good characters,blue eyes,blond hair,female characters,deceased characters,257,Jun-72,1972
159,lockjaw, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,255,Dec-65,1965
160,adam warlock, (earth-616),no dual identity,good characters,white eyes,gold hair,male characters,living characters,252,Sep-67,1967
161,heather mcneil, (earth-616),public identity,neutral characters,green eyes,red hair,female characters,living characters,252,Nov-80,1980
162,curtis connors, (earth-616),public identity,neutral characters,red eyes,no hair,male characters,living characters,250,Nov-63,1963
163,theodore sallis, (earth-616),secret identity,good characters,red eyes,no hair,male characters,living characters,249,May-71,1971
164,adrian toomes, (earth-616),public identity,bad characters,hazel eyes,bald,male characters,living characters,248,May-63,1963
165,amora, (earth-616),public identity,bad characters,green eyes,blond hair,female characters,living characters,247,Apr-64,1964
166,clea, (earth-616),no dual identity,good characters,blue eyes,white hair,female characters,living characters,247,Nov-64,1964
167,mar-vell, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,deceased characters,245,Dec-67,1967
168,eugene judd, (earth-616),public identity,good characters,brown eyes,bald,male characters,living characters,245,Aug-83,1983
169,daimon hellstrom, (earth-616),no dual identity,neutral characters,red eyes,red hair,male characters,living characters,242,Sep-73,1973
170,john jonah jameson iii, (earth-616),no dual identity,good characters,brown eyes,auburn hair,male characters,living characters,240,Mar-63,1963
171,triton, (earth-616),no dual identity,good characters,green eyes,no hair,male characters,living characters,240,Dec-65,1965
172,meggan puceanu, (earth-616),secret identity,good characters,,,female characters,living characters,240,Dec-83,1983
173,robert reynolds, (earth-616),secret identity,neutral characters,blue eyes,blond hair,male characters,living characters,240,Sep-00,2000
174,aleksei sytsevich, (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,239,Oct-66,1966
175,santo vaccarro, (earth-616),secret identity,good characters,white eyes,no hair,male characters,living characters,238,3-Sep,2003
176,jonathan clay, (earth-616),secret identity,good characters,blue eyes,red hair,male characters,living characters,237,Aug-60,1960
177,ares, (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,deceased characters,236,Apr-49,1949
178,sersi, (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,236,Sep-76,1976
179,guido carosella, (earth-616),secret identity,neutral characters,brown eyes,bald,male characters,living characters,236,Jul-85,1985
180,zabu, (earth-616),public identity,good characters,green eyes,orange hair,male characters,living characters,234,Mar-65,1965
181,michael morbius, (earth-616),secret identity,neutral characters,red eyes,black hair,male characters,living characters,231,Oct-71,1971
182,julio richter, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,231,Jun-87,1987
183,phoenix force, (earth-616),secret identity,neutral characters,,no hair,,deceased characters,229,Oct-76,1976
184,megan gwynn, (earth-616),public identity,good characters,black eyeballs,pink hair,female characters,living characters,229,4-Nov,2004
185,kyle richmond, (earth-616),secret identity,good characters,brown eyes,auburn hair,male characters,living characters,227,Oct-69,1969
186,karen page, (earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,deceased characters,226,Apr-64,1964
187,tyrone johnson, (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,226,Mar-82,1982
188,maxwell dillon, (earth-616),public identity,bad characters,blue eyes,auburn hair,male characters,living characters,225,Feb-64,1964
189,valerie cooper, (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,225,Dec-83,1983
190,anna may, (earth-616),no dual identity,good characters,blue eyes,white hair,female characters,living characters,224,Aug-64,1964
191,vlad dracula, (earth-616),no dual identity,bad characters,red eyes,white hair,male characters,living characters,223,Mar-51,1951
192,tandy bowen, (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,222,Mar-82,1982
193,monet st. croix, (earth-616),no dual identity,good characters,brown eyes,black hair,female characters,living characters,221,Nov-94,1994
194,gamora, (earth-616),no dual identity,neutral characters,yellow eyes,black hair,female characters,living characters,218,Jun-75,1975
195,amara aquilla, (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,217,Oct-83,1983
196,julia carpenter, (earth-616),secret identity,good characters,blue eyes,strawberry blond hair,female characters,living characters,212,Oct-84,1984
197,jane foster, (earth-616),no dual identity,good characters,blue eyes,brown hair,female characters,living characters,211,Sep-62,1962
198,mortimer toynbee, (earth-616),secret identity,neutral characters,black eyes,brown hair,male characters,living characters,210,Mar-64,1964
199,scott lang, (earth-616),public identity,good characters,blue eyes,strawberry blond hair,male characters,living characters,209,Mar-79,1979
200,paige guthrie, (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,207,Nov-84,1984
201,benjamin parker, (earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,deceased characters,205,Aug-62,1962
202,erik josten, (earth-616),secret identity,good characters,brown eyes,red hair,male characters,living characters,204,Oct-65,1965
203,jeanne-marie beaubier, (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,203,Apr-79,1979
204,carl creel, (earth-616),public identity,bad characters,blue eyes,bald,male characters,living characters,202,Apr-64,1964
205,gloria grant, (earth-616),no dual identity,,brown eyes,black hair,female characters,living characters,202,Jan-75,1975
206,michael twoyoungmen, (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,200,Apr-79,1979
207,hope summers, (earth-616),secret identity,good characters,green eyes,red hair,female characters,living characters,200,8-Jan,2008
208,eric masterson, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,198,May-88,1988
209,alexander power, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,197,Aug-84,1984
210,matthew hawk, (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,195,Nov-62,1962
211,jessica jones, (earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,living characters,195,Sep-63,1963
212,frederick dukes, (earth-616),public identity,bad characters,brown eyes,brown hair,male characters,living characters,194,Jan-64,1964
213,eric brooks, (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,194,Jul-73,1973
214,eros, (earth-616),public identity,good characters,blue eyes,red hair,male characters,living characters,193,Feb-73,1973
215,madison jeffries, (earth-616),no dual identity,good characters,brown eyes,black hair,male characters,living characters,193,Aug-83,1983
216,mandarin, (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,deceased characters,190,Feb-64,1964
217,the wizard, (earth-616),public identity,bad characters,hazel eyes,brown hair,male characters,living characters,189,Nov-62,1962
218,akihiro, (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,living characters,189,6-Oct,2006
219,sergei kravinoff, (earth-616),public identity,bad characters,brown eyes,black hair,male characters,deceased characters,188,Aug-64,1964
220,jonothon starsmore, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,187,Nov-94,1994
221,helmut zemo, (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,living characters,184,Dec-73,1973
222,victor borkowski, (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,184,3-Aug,2003
223,edward leeds, (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,deceased characters,181,Nov-64,1964
224,ultron, (earth-616),no dual identity,bad characters,red eyes,no hair,male characters,deceased characters,181,Jul-68,1968
225,douglas ramsey, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,181,Mar-84,1984
226,quentin beck, (earth-616),secret identity,bad characters,blue eyes,bald,male characters,living characters,180,Jun-64,1964
227,herbert wyndham, (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,living characters,179,Nov-66,1966
228,julian keller, (earth-616),public identity,good characters,blue eyes,black hair,male characters,living characters,179,3-Aug,2003
229,jack russell, (earth-616),secret identity,good characters,blue eyes,red hair,male characters,living characters,178,Feb-72,1972
230,celeste cuckoo, (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,177,1-Nov,2001
231,valentina allegra de fontaine, (earth-616),secret identity,neutral characters,blue eyes,black hair,female characters,living characters,176,Aug-67,1967
232,ophelia sarkissian, (earth-616),secret identity,bad characters,green eyes,black hair,female characters,living characters,175,Feb-69,1969
233,colleen wing, (earth-616),public identity,good characters,blue eyes,auburn hair,female characters,living characters,175,Nov-74,1974
234,irma cuckoo, (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,175,1-Nov,2001
235,sebastian shaw, (earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,living characters,174,Jan-80,1980
236,phoebe cuckoo, (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,174,1-Nov,2001
237,sage, (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,172,Apr-80,1980
238,valeria richards, (earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,living characters,171,2-Feb,2002
239,donald blake, (earth-616),no dual identity,good characters,blue eyes,blond hair,male characters,living characters,170,Aug-62,1962
240,hela, (earth-616),secret identity,bad characters,green eyes,black hair,female characters,deceased characters,170,Mar-64,1964
241,lilandra neramani, (earth-616),no dual identity,good characters,orange eyes,black hair,female characters,deceased characters,170,Feb-76,1976
242,henry gyrich, (earth-616),no dual identity,bad characters,green eyes,red hair,male characters,living characters,170,Nov-77,1977
243,dwayne taylor, (earth-616),secret identity,good characters,brown eyes,black hair,male characters,deceased characters,169,Dec-89,1989
244,harold hogan, (earth-616),no dual identity,good characters,brown eyes,brown hair,male characters,deceased characters,166,Sep-63,1963
245,redwing, (earth-616),public identity,,yellow eyes,,male characters,living characters,165,Sep-69,1969
246,christopher powell, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,165,Mar-91,1991
247,harvey elder, (earth-616),secret identity,bad characters,brown eyes,grey hair,male characters,living characters,164,Nov-61,1961
248,wolfgang von strucker, (earth-616),public identity,bad characters,blue eyes,bald,male characters,deceased characters,164,Jan-64,1964
249,dirk garthwaite, (earth-616),secret identity,bad characters,blue eyes,brown hair,male characters,living characters,164,Jan-68,1968
250,pip gofern, (earth-616),secret identity,good characters,green eyes,red hair,male characters,living characters,163,Apr-75,1975
251,tony masters, (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,living characters,163,May-80,1980
252,david lieberman, (earth-616),secret identity,neutral characters,green eyes,brown hair,male characters,deceased characters,163,Nov-87,1987
253,james hudson, (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,161,Feb-78,1978
254,miles warren, (earth-616),secret identity,bad characters,green eyes,no hair,male characters,living characters,160,Dec-65,1965
255,kallark, (earth-616),public identity,neutral characters,blue eyes,blue hair,male characters,living characters,160,Oct-77,1977
256,en sabah nur, (earth-616),public identity,bad characters,red eyes,black hair,male characters,deceased characters,160,Jun-86,1986
257,shiro yoshida, (earth-616),public identity,good characters,black eyes,black hair,male characters,living characters,158,Jan-70,1970
258,silver sablinova, (earth-616),secret identity,good characters,blue eyes,silver hair,female characters,deceased characters,158,Jun-85,1985
259,elvin haliday, (earth-616),secret identity,good characters,brown eyes,bald,male characters,living characters,158,Nov-90,1990
260,james bradley, (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,158,,
261,calvin zabo, (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,157,Dec-63,1963
262,frederick myers, (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,157,Jul-66,1966
